Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
118,Andrew Ogletree,20,2,Sun,1,1,9/10/23,25-044,IND,,JAX,L 21-31,2,1,20,20,0,50,10,1,50,TE
119,Kalif Raymond,20,1,Thu,1,1,9/7/23,29-030,DET,@,KAN,W 21-20,1,1,20,20,0,100,20,,100,WR
120,Tyler Allgeier,19,3,Sun,1,1,9/10/23,23-148,ATL,,CAR,W 24-10,3,3,19,6.3,0,100,6.3,1,33.3,RB
121,Connor Heyward,19,4,Sun,1,1,9/10/23,24-231,PIT,,SFO,L 7-30,4,2,19,9.5,0,50,4.8,,50,TE
122,George Kittle,19,6,Sun,1,1,9/10/23,29-336,SFO,@,PIT,W 30-7,6,3,19,6.3,0,50,3.2,1,16.7,TE
123,Cade Otton,19,3,Sun,1,1,9/10/23,24-148,TAM,@,MIN,W 20-17,3,2,19,9.5,0,66.7,6.3,1,33.3,TE
124,Michael Wilson,19,4,Sun,1,1,9/10/23,23-199,ARI,@,WAS,L 16-20,4,2,19,9.5,0,50,4.8,1,50,WR
125,Mike Boone,18,4,Sun,1,1,9/10/23,28-042,HOU,@,BAL,L 9-25,4,3,18,6,0,75,4.5,1,50,S
126,Treylon Burks,18,3,Sun,1,1,9/10/23,23-171,TEN,@,NOR,L 15-16,3,2,18,9,0,66.7,6,1,66.7,WR
127,Ty Chandler,18,1,Sun,1,1,9/10/23,25-121,MIN,,TAM,L 17-20,1,1,18,18,0,100,18,1,100,RB
128,Jahmyr Gibbs,18,2,Thu,1,1,9/7/23,21-171,DET,@,KAN,W 21-20,2,2,18,9,0,100,9,1,50,RB
129,Samori Toure,18,3,Sun,1,1,9/10/23,25-170,GNB,@,CHI,W 38-20,3,2,18,9,0,66.7,6,1,33.3,WR
130,Lawrence Cager,17,2,Sun,1,1,9/10/23,26-021,NYG,,DAL,L 0-40,2,2,17,8.5,0,100,8.5,1,100,TE
131,James Cook,17,6,Mon,1,1,9/11/23,23-351,BUF,@,NYJ,L 16-22 (OT),6,4,17,4.3,0,66.7,2.8,0,16.7,RB
132,AJ Dillon,17,3,Sun,1,1,9/10/23,25-131,GNB,@,CHI,W 38-20,3,2,17,8.5,0,66.7,5.7,1,66.7,RB
133,Will Dissly,17,2,Sun,1,1,9/10/23,27-064,SEA,,LAR,L 13-30,2,2,17,8.5,0,100,8.5,1,100,TE
134,Christian McCaffrey,17,5,Sun,1,1,9/10/23,27-095,SFO,@,PIT,W 30-7,5,3,17,5.7,0,60,3.4,1,40,RB
135,Jonathan Mingo,17,5,Sun,1,1,9/10/23,22-143,CAR,@,ATL,L 10-24,5,2,17,8.5,0,40,3.4,1,20,WR
136,Joe Mixon,17,5,Sun,1,1,9/10/23,27-048,CIN,@,CLE,L 3-24,5,3,17,5.7,0,60,3.4,0,40,RB
